Date,Open,High,Low,Close,Change,Amplitude,MA(7),MA(25),MA(99),Vol(USDT),RSI
2022-08-05,22622.41,23472.86,22586.95,23312.42,0.0305,0.0392,23135.2,22319.11,25990.63,4046000000.000001,55.073459627519966
2022-08-06,23313.56,23354.36,22909.52,22954.21,-0.0154,0.0191,23036.73,22464.12,25832.64,1945000000.0,53.98717485434615
2022-08-07,22954.21,23402.0,22844.62,23174.39,0.0096,0.0243,23019.74,22581.7,25686.61,2052000000.0,54.645409737464945
2022-08-08,23174.39,24245.0,23154.25,23810.0,0.0274,0.0471,23097.17,22710.55,25538.55,4078000000.000001,71.66393891689837
2022-08-09,23810.98,23933.25,22865.0,23149.95,-0.0277,0.0449,23120.33,22803.35,25383.24,3347000000.0,64.87263995480015
2022-08-10,23151.32,24226.0,22664.69,23954.05,0.0347,0.0674,23282.57,22913.69,25244.1,4919000000.0,59.141989258892806
2022-08-11,23954.05,24918.54,23852.13,23934.39,-0.0008,0.0445,23469.92,23039.13,25084.95,6098000000.0,50.99257683625628
2022-08-12,23933.09,24456.5,23583.0,24403.68,0.0196,0.0365,23625.81,23117.98,24962.23,4176000000.0,56.290103868144776
2022-08-13,24401.7,24888.0,24291.22,24441.38,0.0015,0.0245,23838.26,23159.77,24845.34,3751000000.0,58.11706346380404
2022-08-14,24443.06,25047.56,24144.0,24305.24,-0.0056,0.037,23999.81,23203.05,24732.54,3709000000.0,60.76345751289167
2022-08-15,24305.25,25211.32,23773.22,24094.82,-0.0087,0.0592,24040.5,23240.75,24632.1,5894000000.0,58.46130544861366
2022-08-16,24093.04,24247.49,23671.22,23854.74,-0.01,0.0239,24141.19,23287.55,24569.26,4295000000.0,58.945578441873096
2022-08-17,23856.15,24446.71,23180.4,23342.66,-0.0215,0.0530999999999999,24053.84,23323.21,24491.74,4994000000.0,55.052569699422754
2022-08-18,23342.66,23600.0,23111.04,23191.2,-0.0065,0.0209,23947.67,23347.67,24432.01,3375000000.0,55.52268282916249
2022-08-19,23191.45,23208.67,20783.57,20834.39,-0.1016,0.1046,23437.78,23328.61,24349.23,6182000000.0,31.810728163962793
2022-08-20,20834.39,21382.85,20761.9,21140.07,0.0147,0.0298,22966.16,23324.03,24266.94,3871000000.0,36.5803357172235
2022-08-21,21140.07,21800.0,21069.11,21515.61,0.0178,0.0346,22567.64,23266.55,24180.36,3405000000.0,38.00526999314497
2022-08-22,21516.7,21548.71,20890.18,21399.83,-0.0054,0.0306,22182.64,23168.83,24080.07,4721000000.0,31.15520603491281
2022-08-23,21400.75,21684.87,20890.14,21529.12,0.006,0.0371,21850.41,23079.05,23995.78,4300000000.0,36.17989676041901
2022-08-24,21529.11,21900.0,21145.0,21368.08,-0.0075,0.0351,21568.33,22988.03,23904.09,3744000000.0,25.23477438100585
2022-08-25,21368.05,21819.88,21310.15,21559.04,0.0089,0.0239,21335.16,22918.66,23831.81,3672000000.0,27.97448940798587
2022-08-26,21559.04,21886.77,20107.9,20241.05,-0.0611,0.0825,21250.4,22797.58,23730.01,5785000000.0,16.650777042671223
2022-08-27,20239.14,20402.93,19800.0,20037.6,-0.0101,0.0298,21092.9,22679.57,23637.45,3270000000.0,15.631555616602526
2022-08-28,20037.6,20171.18,19520.0,19555.61,-0.0241,0.0325,20812.9,22549.06,23537.55,2781000000.0,14.830945847284795
2022-08-29,19555.61,20433.62,19550.79,20285.73,0.0373,0.0451,20653.75,22455.57,23436.46,4211000000.000001,23.810859607797823
2022-08-30,20287.2,20576.25,19540.0,19811.66,-0.0233999999999999,0.0511,20408.4,22315.54,23342.55,5158000000.0,23.068612065129614
2022-08-31,19813.03,20490.0,19797.94,20050.02,0.012,0.0349,20220.1,22199.37,23245.53,5596000000.0,27.23731911610581
2022-09-01,20048.44,20208.37,19565.66,20131.46,0.0040999999999999,0.0321,20016.16,22077.66,23150.47,4893000000.0,28.640618106476467
2022-09-02,20132.64,20441.26,19755.29,19951.86,-0.0089,0.0341,19974.85,21923.33,23057.04,4947000000.0,41.14869486551488
2022-09-03,19950.98,20055.93,19652.72,19831.9,-0.006,0.0202,19945.46,21790.61,22968.18,2909000000.0,36.37206511389514
2022-09-04,19832.45,20029.23,19583.1,20000.3,0.0085,0.0225,20008.99,21632.46,22876.95,2883000000.0,33.502161155810015
2022-09-05,20000.3,20057.27,19633.83,19796.84,-0.0102,0.0212,19939.15,21466.96,22779.26,4405000000.0,32.87451416947813
2022-09-06,19795.34,20180.0,18649.51,18790.61,-0.0508,0.0773,19793.28,21242.43,22648.52,6977000000.0,25.36012682942625
2022-09-07,18790.61,19464.06,18510.77,19292.84,0.0266999999999999,0.0507,19685.12,21036.49,22522.17,5437000000.0,32.40803219932654
2022-09-08,19292.85,19458.25,19012.0,19319.77,0.0014,0.0231,19569.16,20837.07,22416.25,5057000000.0,30.474536249853912
2022-09-09,19320.54,21597.22,19291.75,21360.11,0.1056,0.1193,19770.34,20727.68,22324.41,8930000000.0,58.66604301348395
2022-09-10,21361.62,21810.8,21111.13,21648.34,0.0135,0.0327999999999999,20029.83,20639.43,22243.08,6590000000.0,62.31196570743701
2022-09-11,21647.21,21860.0,21350.0,21826.87,0.0081999999999999,0.0236,20290.77,20578.8,22161.9,6065000000.0,68.20532551018773
2022-09-12,21826.87,22488.0,21538.51,22395.74,0.0260999999999999,0.0435,20662.04,20546.98,22085.9,8744000000.0,67.36162194630268
2022-09-13,22395.44,22799.0,19860.0,20173.57,-0.0992,0.1311999999999999,20859.61,20520.55,21972.77,9302000000.0,52.31259784657656
2022-09-14,20173.62,20541.48,19617.62,20226.71,0.0026,0.0458,20993.02,20484.01,21862.69,6886000000.0,51.15641930851766
2022-09-15,20227.17,20330.24,19497.0,19701.88,-0.0259,0.0412,21047.6,20411.46,21756.6,6655000000.0,47.34266824365453
2022-09-16,19701.88,19890.0,19320.01,19803.3,0.0051,0.0289,20825.2,20347.6,21652.49,5584000000.0,49.07204981048728
2022-09-17,19803.3,20189.0,19748.08,20113.62,0.0157,0.0223,20605.96,20290.98,21561.8,3579000000.0,51.718831984966606
2022-09-18,20112.61,20117.26,19335.62,19416.18,-0.0347,0.0389,20261.57,20212.9,21470.81,5034000000.0,46.65227747376819
2022-09-19,19417.45,19686.2,18232.56,19537.02,0.0062,0.0749,19853.18,20132.02,21399.72,7215000000.0,48.49667651061388
2022-09-20,19537.02,19634.62,18711.87,18875.0,-0.0339,0.0472,19667.67,20077.38,21363.23,6206000000.0,50.50853830940388
2022-09-21,18874.31,19956.0,18125.98,18461.36,-0.0219,0.0969999999999999,19415.48,20014.33,21326.11,7339000000.0,44.93538578487268
2022-09-22,18461.36,19550.17,18356.39,19401.63,0.0509,0.0647,19372.59,20008.17,21293.97,7204000000.0,50.448692510244406
2022-09-23,19401.63,19500.0,18531.42,19289.91,-0.0058,0.0499,19299.25,19968.34,21282.74,7330000000.0,35.610500678395866
2022-09-24,19288.57,19316.14,18805.34,18920.5,-0.0192,0.0265,19128.8,19932.69,21267.1,4569000000.0,31.250979432602662
2022-09-25,18921.99,19180.21,18629.2,18807.38,-0.006,0.0291,19041.83,19882.99,21265.45,3625000000.0,29.058107615120107
2022-09-26,18809.13,19318.96,18680.72,19227.82,0.0224,0.0339,18997.66,19846.84,21251.85,8356999999.999999,27.56678440625538
2022-09-27,19226.68,20385.86,18816.32,19079.13,-0.0077,0.0816,19026.82,19811.93,21236.75,11706000000.0,39.02773043530567
2022-09-28,19078.1,19790.0,18471.28,19412.82,0.0175,0.0691,19162.74,19795.17,21223.51,9964000000.0,42.274931898212735
2022-09-29,19412.82,19645.52,18843.01,19591.51,0.0092,0.0412999999999999,19189.87,19778.82,21219.51,7869000000.0,48.87874336358701
2022-09-30,19590.54,20185.0,19155.36,19422.61,-0.0086,0.0526,19208.82,19763.85,21202.46,8694000000.0,46.18485164926572
2022-10-01,19422.61,19484.0,19159.42,19310.95,-0.0056999999999999,0.0167,19264.6,19784.66,21183.0,3200000000.0,41.62232571343881
2022-10-02,19312.24,19395.91,18920.35,19056.8,-0.0132,0.0246,19300.23,19775.22,21158.41,3971000000.0,45.86657281401531
2022-10-03,19057.74,19719.1,18959.68,19629.08,0.03,0.0399,19357.56,19787.59,21144.18,5672000000.0,50.95922211941619
2022-10-04,19629.08,20475.0,19490.6,20337.82,0.0361,0.0501999999999999,19537.37,19746.7,21140.09,6533000000.0,65.09493540264995
2022-10-05,20337.82,20365.6,19730.0,20158.26,-0.0088,0.0313,19643.86,19687.1,21138.85,6275000000.0,68.39928697206005
