Date,Open,High,Low,Close,Change,Amplitude,MA(7),MA(25),MA(99),Vol(BTC),Vol(USDT)
2021-03-09,52375.18,54895.0,51789.41,54884.5,0.0479,0.0593,50655.54,50218.73,35410.69,71657.0,3861000000.0
2021-03-10,54874.67,57387.69,53005.0,55851.59,0.0176,0.0799,51441.57,50566.64,35785.31,84749.0,4700000000.0
2021-03-11,55851.59,58150.0,54272.82,57773.16,0.0344,0.0694,52784.3,50934.46,36174.89,81915.0,4612000000.0
2021-03-12,57773.15,58081.51,54962.84,57221.72,-0.0095,0.054000000000000006,53994.3,51306.88,36556.71,73405.0,4162000000.0
2021-03-13,57221.72,61844.0,56078.23,61188.39,0.0693,0.1008,55752.33,51789.08,36986.39,83245.0,4933000000.0
2021-03-14,61188.38,61724.79,58966.78,58968.31,-0.0363,0.0451,56894.69,52063.02,37388.61,52601.0,3176000000.0
2021-03-15,58976.08,60633.43,54600.0,55605.2,-0.057,0.1023,57356.12,52225.13,37754.73,102771.0,5874000000.0
2021-03-16,55605.2,56938.29,53271.34,56900.75,0.0233,0.0659,57644.16,52264.92,38135.88,77987.0,4304000000.0
2021-03-17,56900.74,58974.73,54123.69,58912.97,0.0354,0.08529999999999999,58081.5,52387.79,38545.87,70422.0,3961000000.0
2021-03-18,58912.97,60129.97,57023.0,57648.16,-0.0215,0.0527,58063.64,52397.37,38940.89,66580.0,3901000000.0
2021-03-19,57641.0,59468.0,56270.74,58030.01,0.0066,0.0555,58179.11,52555.06,39342.66,52393.0,3053000000.0
2021-03-20,58030.01,59880.0,57820.17,58102.28,0.0012,0.0355,57738.24,52923.52,39747.37,44477.0,2617000000.0
2021-03-21,58100.02,58589.1,55450.11,57351.56,-0.0129,0.054000000000000006,57507.28,53230.53,40136.69,48564.0,2774000000.0
2021-03-22,56091.634999999995,57210.0,54225.055,55846.225,-0.00405,0.05315,57215.72,53532.0,40490.104999999996,54176.5,3019500000.0
2021-03-23,54083.25,55830.9,53000.0,54340.89,0.0048,0.052300000000000006,56924.16,53833.47,40843.52,59789.0,3265000000.0
2021-03-24,54342.8,57200.0,51700.0,52303.65,-0.0375,0.1012,55979.97,54081.36,41175.61,83537.0,4583000000.0
2021-03-25,52303.66,53287.0,50427.56,51293.78,-0.019299999999999998,0.0547,55072.2,54327.69,41478.22,87401.0,4536000000.0
2021-03-26,51293.78,55073.46,51214.6,55025.59,0.0728,0.07519999999999999,54643.0,54545.23,41803.76,63814.0,3397000000.0
2021-03-27,55025.59,56700.36,53950.0,55817.14,0.0144,0.05,54316.55,54840.29,42134.16,50105.0,2767000000.0
2021-03-28,55817.14,56559.75,54691.84,55777.63,-0.0007000000000000001,0.0335,54091.7,55057.42,42456.95,39050.0,2179000000.0
2021-03-29,55777.65,58405.82,54800.01,57635.47,0.0333,0.0646,54599.16,55427.87,42802.2,67858.0,3877000000.0
2021-03-30,57635.46,59368.0,57071.35,58746.57,0.019299999999999998,0.0398,55228.55,55827.67,43166.11,55122.0,3222000000.0
2021-03-31,58746.57,59800.0,56769.0,58740.55,-0.0001,0.0516,56148.1,56222.0,43518.93,60976.0,3576000000.0
2021-04-01,58739.46,59490.0,57935.45,58720.44,-0.0003,0.0265,57209.06,56531.95,43877.4,47416.0,2789000000.0
2021-04-02,58720.45,60200.0,58428.57,58950.01,0.0039000000000000003,0.0302,57769.69,56794.94,44233.16,47382.0,2811000000.0
2021-04-03,58950.01,59791.72,56880.0,57051.94,-0.0322,0.049400000000000006,57946.09,56881.64,44559.82,47410.0,2783000000.0
2021-04-04,57051.95,58492.85,56388.0,58202.01,0.0202,0.0369,58292.43,56975.66,44880.11,41314.0,2380000000.0
2021-04-05,58202.01,59272.0,56777.77,59129.99,0.0159,0.0429,58505.93,57029.93,45211.91,54258.0,3155000000.0
2021-04-06,59129.99,59495.24,57413.02,57991.15,-0.019299999999999998,0.0352,58398.01,57060.71,45524.15,54201.0,3167000000.0
2021-04-07,57990.03,58655.0,55473.0,55953.45,-0.0351,0.054900000000000004,57999.86,56851.31,45812.72,71228.0,4053000000.0
2021-04-08,55953.44,58153.31,55700.0,58077.52,0.038,0.0438,57908.01,56815.68,46107.69,44283.0,2532000000.0
2021-04-09,58077.52,58894.9,57654.0,58142.54,0.0011,0.021400000000000002,57792.66,56917.17,46402.83,40832.0,2378000000.0
2021-04-10,58142.55,61500.0,57900.01,59769.13,0.027999999999999997,0.061900000000000004,58180.83,57031.91,46710.28,69906.0,4197000000.0
2021-04-11,59769.13,60699.0,59232.52,60002.43,0.0039000000000000003,0.0245,58438.03,57075.49,46991.33,41157.0,2462000000.0
2021-04-12,59998.8,61300.0,59350.59,59860.0,-0.0024,0.0325,58542.32,57163.96,47262.65,56375.0,3393000000.0
2021-04-13,59860.01,63777.77,59805.15,63575.0,0.0621,0.0664,59340.01,57385.76,47581.7,82849.0,5155000000.0
